platform,profile,motor,report,completed,cases,pass_0_2,pass_0_2_4,failures,loaded_dry_mass_g,loaded_launch_mass_g,apogee_m,peak_powered_speed_m_s,guide_departure_m_s,minimum_ascent_stability_cal,deployment_speed_m_s,landing_descent_m_s,landing_displacement_m,peak_powered_specific_force_estimate_g
24-e,inert-plus20,E12-6,bt60-24-e-inert-plus20/report.md,9,9,4,6,"{""minimum_ascent_stability_cal"": 3}",181.14877548614092,241.04877548614093,"[315.5922914020548, 318.78491876314826]","[81.13646492785406, 81.27633233814925]","[12.983762499911615, 12.988467383032951]","[1.4181512713176345, 1.7744145781538296]","[1.364626654509512, 4.212019295100614]","[5.584430404838199, 5.584494017750571]","[0.19012960178533866, 69.24827013905787]","[14.254588780167044, 14.26115529734239]"
24-e,inert-plus20,E12-8,bt60-24-e-inert-plus20/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9}",181.14877548614092,241.04877548614093,"[315.5922914020548, 318.78491876314826]","[81.13646492785406, 81.27633233814925]","[12.983762499911615, 12.988467383032951]","[1.4181512713176345, 1.7744145781538296]","[16.57434228574787, 20.327766136533427]","[5.584430397337845, 5.584493996144087]","[0.5018171925432803, 54.80093513227324]","[14.254588780167044, 14.26115529734239]"
18-c5,inert-plus40,C5-3,bt60-18-c5-inert-plus40/report.md,9,9,2,2,"{""minimum_ascent_stability_cal"": 1, ""guide_departure_m_s"": 6, ""deployment_speed_m_s"": 6}",197.1487754861409,220.9487754861409,"[35.25570917465309, 37.57162493519009]","[15.933413382757331, 15.985498214219739]","[10.922019582933524, 10.927251083595452]","[2.332939683079582, 2.4028930588382567]","[12.038822047231143, 15.232786590831351]","[5.649394160725983, 5.64945863430697]","[0.502277047318722, 13.794778979397238]","[9.528152672703945, 9.533724929809637]"
24-cd,inert-plus40,C11-3,bt60-24-cd-inert-plus40/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""minimum_ascent_stability_cal"": 2, ""guide_departure_m_s"": 6}",202.1487754861409,237.44877548614087,"[52.826072705576806, 53.458243530450055]","[29.70505160876106, 29.839246042837065]","[11.138334802910082, 11.143118786216577]","[1.6164190469801079, 2.4570266818715236]","[1.5141124560000838, 2.1903655279395866]","[5.854255800330063, 5.854322550625146]","[0.013440558656317554, 10.66249499549847]","[9.479392941158327, 9.485466273983548]"
24-cd,inert-plus40,C11-5,bt60-24-cd-inert-plus40/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9, ""guide_departure_m_s"": 6}",202.1487754861409,237.44877548614087,"[52.826072705576806, 53.458243530450055]","[29.70505160876106, 29.839246042837065]","[11.138334802910082, 11.143118786216577]","[1.6164190469801079, 2.4570266818715236]","[16.701179916815562, 18.99774023848644]","[5.854255737058147, 5.854322465246899]","[0.8809735588386576, 1.195311269956739]","[9.479392941158327, 9.485466273983548]"
24-cd,inert-plus40,D12-3,bt60-24-cd-inert-plus40/report.md,9,9,0,0,"{""deployment_speed_m_s"": 9, ""minimum_ascent_stability_cal"": 2}",202.1487754861409,244.7487754861409,"[147.2966964292978, 149.11700627490902]","[51.78127916678953, 51.934671541499405]","[12.469681538216593, 12.474364422952418]","[1.931757135447026, 2.363829735337038]","[14.689208545773218, 14.82084418638847]","[5.830834533875335, 5.8309010442795275]","[0.04724447743480422, 31.727350996922983]","[12.583847277032179, 12.590046699805523]"
24-cd,inert-plus40,D12-5,bt60-24-cd-inert-plus40/report.md,9,9,5,7,"{""minimum_ascent_stability_cal"": 2}",202.1487754861409,244.7487754861409,"[154.51297290645658, 156.6142446018256]","[51.78127916678953, 51.934671541499405]","[12.469681538216593, 12.474364422952418]","[1.931757135447026, 2.0311380132415358]","[5.131330564829794, 6.258343684436973]","[5.8308345841229485, 5.830901087308804]","[0.05332526104779368, 25.145632923942625]","[12.583847277032179, 12.590046699805523]"
24-cd,inert-plus40,D12-7,bt60-24-cd-inert-plus40/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9, ""launch_mass_g"": 6}",202.1487754861409,244.7487754861409,"[154.51297290645658, 156.6142446018256]","[51.78127916678953, 51.934671541499405]","[12.469681538216593, 12.474364422952418]","[1.931757135447026, 2.0311380132415358]","[19.432550824682057, 23.548631561846253]","[5.830834556665801, 5.830901028560478]","[1.9260271426060767, 9.186703716865733]","[12.583847277032179, 12.590046699805523]"
24-e,inert-plus40,E12-4,bt60-24-e-inert-plus40/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9}",201.1487754861409,261.04877548614087,"[280.8213602741518, 283.9692934175447]","[74.9906828973151, 75.13179334570847]","[12.54410462209138, 12.548415447444649]","[1.7236303849236358, 2.153749036579212]","[17.258966537772547, 17.5070216608288]","[5.850358644867352, 5.850425445198009]","[0.126289797324556, 59.39678061587882]","[13.145686326869521, 13.151752754513451]"
24-e,inert-plus40,E12-6,bt60-24-e-inert-plus40/report.md,9,9,4,6,"{""minimum_ascent_stability_cal"": 3}",201.1487754861409,261.04877548614087,"[291.2652222430843, 294.9144219021839]","[74.9906828973151, 75.13179334570847]","[12.54410462209138, 12.548415447444649]","[1.7132962023260991, 1.7236303849236358]","[2.7063048010557154, 5.496060311994063]","[5.850358763553949, 5.850425494066047]","[0.18330339298362663, 51.732224129821944]","[13.145686326869521, 13.151752754513451]"
24-e,inert-plus40,E12-8,bt60-24-e-inert-plus40/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9}",201.1487754861409,261.04877548614087,"[291.2652222430843, 294.9144219021839]","[74.9906828973151, 75.13179334570847]","[12.54410462209138, 12.548415447444649]","[1.7132962023260991, 1.7236303849236358]","[17.509409843003308, 21.967065185183714]","[5.850358756731901, 5.850425446291878]","[1.434240148305387, 35.20747557601038]","[13.145686326869521, 13.151752754513451]"
