body_mm,nose_mm,nose_shape,span_mm,fin_root_mm,motor,wind_m_s,launch_mass_g,loaded_cg_mm,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m,status
500.0,50.0,ogive,50.0,65.0,D12-5,4.0,220.4621358858508,314.02694217823864,182.1543990408793,12.876522779027422,1.5879983561472333,6.409037143023378,4.909271961594863,100.760614532937,completed
500.0,50.0,ogive,53.65384615384615,65.0,D12-5,4.0,221.33390050323732,314.871724891928,179.60676972378656,12.816040602339545,1.7477658090424366,6.668693999216543,4.919995084053648,97.18492149304403,completed
500.0,50.0,ogive,55.0,65.0,D12-5,4.0,221.6550769412218,315.18128556703925,178.6729967581502,12.7938778121915,1.8024010247443978,6.768269314459759,4.923939830481563,95.8792021785445,completed
500.0,50.0,ogive,65.0,65.0,D12-5,4.0,224.04095905196377,317.4530934553611,172.1060657955854,12.631246043457564,2.147148403466776,7.431975967929233,4.953145366582233,87.39846618335194,completed
500.0,60.0,ogive,45.0,65.0,D12-5,4.0,220.22953368653623,321.5022241817969,184.4939538569076,12.893272945212656,1.3152381216530014,6.064481226915723,4.906406877342704,104.76730363909185,completed
500.0,60.0,ogive,50.0,65.0,D12-5,4.0,221.42247474190725,322.67138242878224,180.96156355709488,12.810466622997364,1.5665664265520172,6.435395136916052,4.921083283063725,99.55283673920917,completed
500.0,60.0,ogive,53.65384615384615,65.0,D12-5,4.0,222.29423935929373,323.5178316335265,178.43242971000694,12.750513993694454,1.7282256804148202,6.706128263942522,4.931780726401295,95.96483692569137,completed
500.0,60.0,ogive,55.0,65.0,D12-5,4.0,222.6154157972782,323.8280102149454,177.52107910400966,12.728544725488899,1.7835372125167532,6.802801253181713,4.9357160559077595,94.7154428676112,completed
500.0,60.0,ogive,65.0,65.0,D12-5,4.0,225.00129790802023,326.1044716322668,171.0535855140203,12.804531080239036,2.146969152796422,7.458699117808507,4.964852345584339,86.49744242945943,completed
500.0,70.0,ogive,45.0,65.0,D12-5,4.0,221.1995754025547,330.1163292134976,183.25004165147334,12.826394872313536,1.2908706474961975,6.0764117339721935,4.918344342958621,103.54696582398076,completed
500.0,70.0,ogive,50.0,65.0,D12-5,4.0,222.39251645792572,331.2878218858594,179.74548726324986,12.744321100334423,1.5449149469983365,6.468107045549076,4.93298523977765,98.30884954685098,completed
500.0,70.0,ogive,53.65384615384615,65.0,D12-5,4.0,223.2642810753122,332.1359957197578,177.25738119184794,12.684896397561143,1.7084777882343658,6.740314277463674,4.943656927972178,94.79482487319517,completed
500.0,70.0,ogive,55.0,65.0,D12-5,4.0,223.5854575132967,332.4468135510403,176.34467264181833,12.66312006590014,1.7644703224706157,6.843969862795729,4.947582902631916,93.51568224132485,completed
500.0,70.0,ogive,65.0,65.0,D12-5,4.0,225.97133962403868,334.72808579912447,169.93543714280173,12.73942470961733,2.1328771611377983,7.525045120009203,4.9766497434268055,85.28795694128061,completed
530.0,40.0,conical,45.0,65.0,D12-5,4.0,217.1635441493899,321.3496394047738,174.89190165772976,12.85841871790049,1.477730017172282,6.132494806713943,4.868483946660167,100.96413006549784,completed
530.0,40.0,conical,50.0,65.0,D12-5,4.0,218.35648520476093,322.5906803903757,171.8701266446888,12.77476756282511,1.7318813768792891,6.6150644360931405,4.8832743210825305,96.26881208331308,completed
530.0,40.0,conical,53.65384615384615,65.0,D12-5,4.0,219.22824982214743,323.48905357740875,169.7004651832403,12.714210631096082,1.8954034938018391,6.953838932668749,4.894054340659077,93.02078194032185,completed
530.0,40.0,conical,55.0,65.0,D12-5,4.0,219.5494262601319,323.81823476598396,168.90622131702122,12.692024620021181,1.951281051075587,7.076247692459192,4.898020041804013,91.84333984262173,completed
530.0,40.0,conical,65.0,65.0,D12-5,4.0,221.9353083708739,326.23375360183894,163.29498865428172,12.767611434782287,2.319486287037034,7.88035769018467,4.927379065099993,84.24982694168256,completed
530.0,50.0,conical,45.0,65.0,D12-5,4.0,217.79322487468238,330.44362417748647,177.95037174518762,12.816235739506865,1.4574007992689375,5.977033054947294,4.876296491321247,102.553658100556,completed
530.0,50.0,conical,50.0,65.0,D12-5,4.0,218.9861659300534,331.6860322045735,174.7822417179663,12.733039511920282,1.7134983332291682,6.437425023197828,4.891063171886145,97.69978538771866,completed
530.0,50.0,conical,53.65384615384615,65.0,D12-5,4.0,219.8579305474399,332.58541946464464,172.5476446452644,12.913703054509568,1.8928027668987695,6.733820647285661,4.90182616816654,94.59460209168442,completed
