design,body_mm,nose_mm,nose_shape,motor,fin_count,span_mm,variant,variant_size,wind_m_s,wind_heading_deg,launch_mass_g,loaded_cg_mm,added_mass_g,collar_mass_g,status,warnings,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m
b530-n40-ogive-E12-3f-s53p6538-canard-mass-only-20,530,40,ogive,E12-6,3,53.65384615384615,canard-mass-only,20,0,0,240.9716723826824,328.4594052790772,2.7855999999999996,27.0,completed,[],333.97795548175003,12.99501782049484,2.8820853457848084,0.8712895100028883,4.979196140476586,0.21177078367091245
b530-n40-ogive-E12-3f-s53p6538-canard-mass-only-20,530,40,ogive,E12-6,3,53.65384615384615,canard-mass-only,20,4,0,240.9716723826824,328.4594052790772,2.7855999999999996,27.0,completed,[],321.6500011015873,12.989200195346669,1.7178867893877532,8.050270961127142,4.979195798393919,173.85530020554248
b530-n40-ogive-E12-3f-s53p6538-canard-mass-only-20,530,40,ogive,E12-6,3,53.65384615384615,canard-mass-only,20,4,90,240.9716723826824,328.4594052790772,2.7855999999999996,27.0,completed,[],321.64890099790625,12.989200648372513,1.7178872233476763,8.020811423016553,4.9790825880197715,174.037972659111
b530-n40-ogive-E12-3f-s53p6538-guard-5,530,40,ogive,E12-6,3,53.65384615384615,guard,5,0,0,238.79767238268244,330.9521060710799,0.6116,27.0,completed,[],336.22552293042645,12.889133995273333,2.820328913174394,0.9279980235174096,4.952729980998643,0.21170203453882533
b530-n40-ogive-E12-3f-s53p6538-guard-5,530,40,ogive,E12-6,3,53.65384615384615,guard,5,4,0,238.79767238268244,330.9521060710799,0.6116,27.0,completed,[],324.166037219516,12.883334928788448,1.604471913810304,7.850424106357122,4.952729626453441,178.4922197397502
b530-n40-ogive-E12-3f-s53p6538-guard-5,530,40,ogive,E12-6,3,53.65384615384615,guard,5,4,90,238.79767238268244,330.9521060710799,0.6116,27.0,completed,[],324.07143885407066,12.8833351967375,1.6505667436791764,7.867239639199944,4.9526170276500086,178.17925796128478
b530-n40-ogive-E12-3f-s53p6538-guard-10,530,40,ogive,E12-6,3,53.65384615384615,guard,10,0,0,238.90927238268242,330.8344134643548,0.7232,27.0,completed,[],335.0067484023492,13.127262123423055,2.824667814161822,0.7642111955083859,4.954092042594001,0.20782610979622662
b530-n40-ogive-E12-3f-s53p6538-guard-10,530,40,ogive,E12-6,3,53.65384615384615,guard,10,4,0,238.90927238268242,330.8344134643548,0.7232,27.0,completed,[],323.23914304462335,13.121150140743671,1.50911029436388,7.695996325737162,4.95409168852929,179.0934055300053
b530-n40-ogive-E12-3f-s53p6538-guard-10,530,40,ogive,E12-6,3,53.65384615384615,guard,10,4,90,238.90927238268242,330.8344134643548,0.7232,27.0,completed,[],322.95285057251306,13.121149951915278,1.6674131206876723,7.813643230548657,4.953979060539409,177.73087450360828
b530-n40-ogive-E12-3f-s53p6538-guard-mass-only-5,530,40,ogive,E12-6,3,53.65384615384615,guard-mass-only,5,0,0,238.79767238268244,330.9521060710799,0.6116,27.0,completed,[],336.84859141824586,12.889200510697222,2.8203289193292527,1.0188325221092074,4.952729930906318,0.2122226974124668
b530-n40-ogive-E12-3f-s53p6538-guard-mass-only-5,530,40,ogive,E12-6,3,53.65384615384615,guard-mass-only,5,4,0,238.79767238268244,330.9521060710799,0.6116,27.0,completed,[],324.6724749883114,12.883429371095728,1.6505713354710136,7.914024647317055,4.9527295786742265,178.34365592679532
b530-n40-ogive-E12-3f-s53p6538-guard-mass-only-5,530,40,ogive,E12-6,3,53.65384615384615,guard-mass-only,5,4,90,238.79767238268244,330.9521060710799,0.6116,27.0,completed,[],324.6709533995458,12.88342982370112,1.650571777377712,7.8848511175253995,4.952616979172416,178.52249889160103
b530-n40-ogive-E12-3f-s53p6538-guard-mass-only-10,530,40,ogive,E12-6,3,53.65384615384615,guard-mass-only,10,0,0,238.90927238268242,330.8344134643548,0.7232,27.0,completed,[],336.7013897381608,13.127451265646037,2.8246678319866705,1.0113981448485032,4.954092016039189,0.21098291817402637
b530-n40-ogive-E12-3f-s53p6538-guard-mass-only-10,530,40,ogive,E12-6,3,53.65384615384615,guard-mass-only,10,4,0,238.90927238268242,330.8344134643548,0.7232,27.0,completed,[],324.5845827948816,13.121419079266172,1.6674267509686493,7.888313958414833,4.954091659827015,178.47908010935822
b530-n40-ogive-E12-3f-s53p6538-guard-mass-only-10,530,40,ogive,E12-6,3,53.65384615384615,guard-mass-only,10,4,90,238.90927238268242,330.8344134643548,0.7232,27.0,completed,[],324.5831512107535,13.121419536359268,1.6674271919627843,7.859104210854244,4.953979028938305,178.65824670678904
b500-n50-conical-D12-3f-s53p6538-reference-0,500,50,conical,D12-5,3,53.65384615384615,reference,0,0,0,218.3579305474399,318.85423804973385,0,27.0,completed,[],181.83361878083824,12.783495813751514,1.6580826853896637,2.2378169264767886,4.883403535532278,0.08256371390976064
b500-n50-conical-D12-3f-s53p6538-reference-0,500,50,conical,D12-5,3,53.65384615384615,reference,0,4,0,218.3579305474399,318.85423804973385,0,27.0,completed,[],174.77712695283282,12.776219610293268,1.728656166833026,6.683131070320636,4.883403397043693,96.25557799584493
b500-n50-conical-D12-3f-s53p6538-reference-0,500,50,conical,D12-5,3,53.65384615384615,reference,0,4,90,218.3579305474399,318.85423804973385,0,27.0,completed,[],174.77383828796582,12.77622011360791,1.7286565468148065,6.669130009394913,4.883292207557749,96.33063839530222
b500-n50-conical-E12-3f-s53p6538-reference-0,500,50,conical,E12-6,3,53.65384615384615,reference,0,0,0,234.65793054743992,329.49068197458445,0,27.0,completed,[],323.00015233457873,13.155395756943568,1.8430016805667364,1.5188642701841932,4.901937913770805,0.1912037369439767
b500-n50-conical-E12-3f-s53p6538-reference-0,500,50,conical,E12-6,3,53.65384615384615,reference,0,4,0,234.65793054743992,329.49068197458445,0,27.0,completed,[],311.7207094594885,13.148300130721342,1.4852998599988092,7.585982751950069,4.901937582223859,175.35766292444546
b500-n50-conical-E12-3f-s53p6538-reference-0,500,50,conical,E12-6,3,53.65384615384615,reference,0,4,90,234.65793054743992,329.49068197458445,0,27.0,completed,[],311.72163097594625,13.148300580294661,1.4853002413237755,7.561370744038527,4.901826129929892,175.529170994782
