finish_allowance_g,body_mm,nose_mm,nose_shape,span_mm,fin_root_mm,motor,wind_m_s,launch_mass_g,loaded_cg_mm,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m,status
3,530.0,50.0,ogive,53.65384615384615,,D12-5,0.0,250.5406806038848,315.87251867302064,155.08125720438832,12.297492306654599,2.286419147895501,4.962254204372331,5.2667753062080775,0.05440500440234078,completed
3,530.0,50.0,ogive,53.65384615384615,,D12-5,2.0,250.5406806038848,315.87251867302064,153.0248410648301,12.293487504796374,2.4892152005535735,6.024919745906035,5.266715249193427,30.4041779666757,completed
3,530.0,50.0,ogive,53.65384615384615,,D12-5,4.0,250.5406806038848,315.87251867302064,147.33656065621574,12.292223825296434,2.181169962713486,9.490596741591201,5.266655241865494,58.93575058566996,completed
3,530.0,50.0,ogive,53.65384615384615,,E12-6,0.0,266.8406806038848,327.2408300517978,299.5757121313745,12.44760104890416,2.2985880889731383,1.3185474267333628,5.283965840026197,0.19338463964286332,completed
3,530.0,50.0,ogive,53.65384615384615,,E12-6,2.0,266.8406806038848,327.2408300517978,295.877402262099,12.443829664272254,2.3642138702771254,5.10593143506741,5.283905603763365,63.40539546291151,completed
3,530.0,50.0,ogive,53.65384615384615,,E12-6,4.0,266.8406806038848,327.2408300517978,285.64096150029644,12.442568642872823,1.9109155155375253,9.872613149393905,5.283845331894241,124.4205226889298,completed
3,530.0,50.0,ellipsoid,53.65384615384615,,D12-5,0.0,252.18165908632918,313.8773928831424,153.45445695514465,12.201822084249383,3.035991988958912,5.189976498980154,5.285578661367634,0.05066898208255964,completed
3,530.0,50.0,ellipsoid,53.65384615384615,,D12-5,2.0,252.18165908632918,313.8773928831424,151.39613701234393,12.197835578453189,2.501786074103207,6.216748230732212,5.285518377779376,29.501735058929984,completed
3,530.0,50.0,ellipsoid,53.65384615384615,,D12-5,4.0,252.18165908632918,313.8773928831424,145.70399387852234,12.196634094608607,2.1825106870541475,9.670604308503123,5.285458060620373,57.10905355049891,completed
3,530.0,50.0,ellipsoid,53.65384615384615,,E12-6,0.0,268.48165908632916,325.29734799828464,297.0892093990543,12.577904345911767,2.2115507264491185,1.522917500191802,5.302708205809148,0.1923761129023206,completed
3,530.0,50.0,ellipsoid,53.65384615384615,,E12-6,2.0,268.48165908632916,325.29734799828464,293.390580122513,12.57408606594766,2.383896684496177,5.185111109950308,5.3026477292469885,62.097969254328625,completed
3,530.0,50.0,ellipsoid,53.65384615384615,,E12-6,4.0,268.48165908632916,325.29734799828464,283.1527899691278,12.57275718663745,1.9256834004796621,9.971063663739761,5.302587249796781,121.78040068461087,completed
5,500.0,40.0,conical,53.65384615384615,,D12-5,0.0,246.7138997865769,299.8708671722014,151.3892245769483,12.354398749497742,2.792630930164819,6.143006807724825,5.222663058983678,0.031073591201937974,completed
5,500.0,40.0,conical,53.65384615384615,,D12-5,2.0,246.7138997865769,299.8708671722014,149.39017891057216,12.34936091561039,2.187401867801717,6.799684361529418,5.222603526127057,30.588123629656728,completed
5,500.0,40.0,conical,53.65384615384615,,D12-5,4.0,246.7138997865769,299.8708671722014,143.88557318791158,12.347678972828765,1.9604515579486266,9.863010504951124,5.222543949123002,59.0410678008582,completed
5,500.0,40.0,conical,53.65384615384615,,E12-6,0.0,263.0138997865769,309.9173128818663,283.12096700961695,12.660740534531966,1.9377751164685504,4.365409687261388,5.23999818564659,0.1587700417861203,completed
5,500.0,40.0,conical,53.65384615384615,,E12-6,2.0,263.0138997865769,309.9173128818663,279.6997986915094,12.655966405236681,2.1221197945876726,6.179633077699244,5.239938465439149,61.41878007869281,completed
5,500.0,40.0,conical,53.65384615384615,,E12-6,4.0,263.0138997865769,309.9173128818663,270.2266131148845,12.654188573255412,1.7294286011389055,10.224765300569505,5.239878675607326,119.73743803979912,completed
5,500.0,40.0,ogive,53.65384615384615,,D12-5,0.0,249.90328685921887,296.26027164328997,156.34918816343534,12.335335299363448,2.554742398120278,4.728450249186112,5.259453660972931,0.05814940244536513,completed
5,500.0,40.0,ogive,53.65384615384615,,D12-5,2.0,249.90328685921887,296.26027164328997,154.26405635000646,12.33134141123281,2.2782323012149983,5.9115500398281755,5.259393670276105,30.710452323468726,completed
5,500.0,40.0,ogive,53.65384615384615,,D12-5,4.0,249.90328685921887,296.26027164328997,148.4820500195099,12.330077115412163,1.9787423078245991,9.435507994827862,5.259333645024072,59.49296912075014,completed
5,500.0,40.0,ogive,53.65384615384615,,E12-6,0.0,266.20328685921885,306.40743249950765,302.3397479037768,12.483393133847105,1.8467533379936443,0.9515376865615924,5.276667957979721,0.19578260960661004,completed
5,500.0,40.0,ogive,53.65384615384615,,E12-6,2.0,266.20328685921885,306.40743249950765,298.58089577227105,12.479675169422045,2.140741341667281,5.091978798468654,5.276607703985931,64.02997309053859,completed
5,500.0,40.0,ogive,53.65384615384615,,E12-6,4.0,266.20328685921885,306.40743249950765,288.16497988519876,12.478416066150855,1.736884936796444,9.908996546688149,5.276547523398544,125.60688706221025,completed
5,500.0,50.0,conical,53.65384615384615,,D12-5,0.0,247.4695166569279,308.9796097192029,153.1437038133927,12.310365752975532,2.6905325278067513,5.677542434236655,5.2314026952118775,0.04122689594263471,completed
5,500.0,50.0,conical,53.65384615384615,,D12-5,2.0,247.4695166569279,308.9796097192029,151.12241640772507,12.305679791540033,2.183898939271251,6.467143252731571,5.231343061420412,30.793105403261553,completed
